Id,Date,CDs,Price
1,1997-01-01,2,29.33
1,1997-01-18,2,29.73
1,1997-08-02,1,14.96
1,1997-12-12,2,26.48
10,1997-01-01,2,30.32
100,1997-01-05,1,16.99
100,1997-06-21,2,26.22
1000,1997-02-07,1,9.97
1000,1997-03-13,1,13.77
1000,1997-04-28,1,13.77
1000,1997-06-04,1,10.77
1000,1997-07-28,2,26.73
1000,1998-01-10,2,27.98
1000,1998-01-16,1,25.49
1000,1998-05-09,2,28.48
1001,1997-02-07,1,38.77
1002,1997-02-07,1,11.77
1003,1997-02-07,3,59.34
1003,1997-08-13,3,68.31
1004,1997-02-07,2,27.94
1005,1997-02-07,2,27.53
1005,1997-03-06,1,15.76
1006,1997-02-07,1,14.37
1007,1997-02-08,11,119.55
1008,1997-02-08,1,36.77
1008,1997-02-18,1,20.99
1008,1997-10-28,1,16.49
1008,1997-11-06,1,16.49
1008,1997-12-06,5,104.95
1008,1997-12-13,1,28.99
1009,1997-02-08,1,11.77
101,1997-01-06,5,62.45
101,1997-02-13,1,12.49
101,1997-05-05,1,6.79
101,1997-05-26,1,6.79
101,1997-08-13,3,37.31
101,1997-09-16,2,23.98
101,1997-11-17,2,15.48
101,1997-11-20,1,14.49
101,1997-12-10,1,14.99
101,1998-06-03,2,24.48
1010,1997-02-08,10,154.18
1010,1997-03-25,1,41.9
1010,1997-03-26,7,98.61
1010,1997-06-19,13,255.35
1010,1997-06-20,1,11.77
1010,1997-07-06,15,207.02
1011,1997-02-08,3,35.23
1011,1997-05-17,3,64.01
1011,1997-06-20,3,41.69
1011,1997-11-06,4,49.96
1011,1998-01-09,2,26.98
1011,1998-03-02,3,34.94
1011,1998-03-15,1,25.49
1012,1997-02-08,1,29.99
1012,1997-12-04,1,12.99
1013,1997-02-08,1,13.97
1013,1998-03-17,1,14.42
1014,1997-02-08,1,32.99
1015,1997-02-08,2,24.73
1015,1997-03-01,2,26.14
1015,1997-04-19,3,37.91
1015,1997-08-09,4,56.92
1016,1997-02-08,2,28.74
1017,1997-02-08,1,10.78
1017,1997-02-20,1,9.98
1017,1997-02-22,1,10.78
1017,1997-03-28,2,19.55
1017,1997-04-04,1,9.98
1017,1997-04-26,1,10.78
1017,1997-05-05,1,9.98
1017,1997-06-16,1,9.98
1017,1997-07-07,2,20.76
1017,1997-07-21,1,9.98
1017,1997-07-28,2,20.76
1017,1997-09-02,1,10.78
1017,1997-09-23,1,10.99
1017,1997-10-10,1,10.99
1017,1997-10-11,1,10.99
1017,1997-10-17,1,11.99
1017,1997-10-21,3,32.97
1017,1998-01-22,1,12.49
1017,1998-01-26,2,21.98
1017,1998-02-11,2,21.98
1017,1998-03-01,2,22.48
1017,1998-03-08,1,11.99
1017,1998-04-21,2,14.98
1017,1998-05-07,1,13.99
1017,1998-05-11,3,34.97
1017,1998-06-24,2,21.98
1018,1997-02-08,1,24.77
1018,1997-04-13,4,49.48
1018,1998-01-10,4,62.46
1018,1998-03-04,4,81.03
1018,1998-05-22,2,21.87
1019,1997-02-08,1,9.97
102,1997-01-06,1,19.99
1020,1997-02-08,1,17.7
1021,1997-02-08,2,41.14
1021,1997-06-22,1,29.6
1021,1997-07-08,1,29.6
1022,1997-02-08,1,19.97
1023,1997-02-08,1,11.77
1024,1997-02-08,2,28.67
1025,1997-02-08,3,42.9
1025,1998-01-05,3,43.97
1025,1998-02-26,2,25.57
1025,1998-04-17,2,23.76
1026,1997-02-08,1,15.96
1027,1997-02-08,1,17.99
1028,1997-02-08,1,14.96
1028,1997-10-22,2,20.48
1029,1997-02-08,1,43.99
103,1997-01-06,4,34.74
1030,1997-02-08,1,11.77
1031,1997-02-08,10,153.16
1032,1997-02-08,1,12.97
1033,1997-02-08,1,20.99
1033,1997-11-08,1,21.49
1033,1998-03-21,2,33.98
1033,1998-06-18,1,14.49
1034,1997-02-08,1,14.37
1035,1997-02-08,1,17.9
1036,1997-02-08,1,20.99
1037,1997-02-08,1,19.7
1037,1997-02-12,2,35.76
1037,1997-03-13,2,41.98
1037,1997-04-14,2,43.94
1037,1997-05-19,1,11.77
1037,1997-11-09,1,12.99
1037,1998-01-06,3,43.47
1037,1998-01-23,1,16.99
1038,1997-02-09,1,11.77
1038,1997-07-21,3,57.5
1039,1997-02-09,1,22.3
1039,1997-04-11,1,28.99
104,1997-01-06,1,22.7
1040,1997-02-09,1,11.77
1041,1997-02-09,3,51.7
1041,1997-12-06,7,117.43
1042,1997-02-09,1,11.77
1042,1997-04-01,1,9.77
1042,1997-05-12,1,10.98
1042,1997-06-15,2,24.75
1043,1997-02-09,1,12.49
1044,1997-02-09,1,12.77
1044,1997-09-30,1,19.49
1045,1997-02-09,1,9.99
1046,1997-02-09,5,162.04
1046,1997-02-13,1,13.97
1047,1997-02-09,4,50.88
1048,1997-02-09,3,44.7
1049,1997-02-09,1,9.97
105,1997-01-06,6,79.21
105,1997-06-24,7,92.8
1050,1997-02-09,1,15.36
1051,1997-02-09,5,61.68
1051,1997-04-29,1,14.79
1051,1997-07-01,1,8.97
1051,1997-07-05,1,13.97
1051,1997-08-03,2,28.74
1051,1997-10-19,1,13.99
1051,1997-11-14,1,46.99
1052,1997-02-09,5,74.95
1052,1997-11-03,4,61.96
1052,1997-12-16,1,14.49
1052,1998-02-13,2,30.48
1052,1998-06-11,6,74.33
1053,1997-02-09,4,61.47
1054,1997-02-09,1,14.37
1054,1997-02-11,1,19.99
1054,1997-06-23,1,13.97
1054,1998-02-26,1,15.49
1055,1997-02-09,1,28.99
1056,1997-02-09,3,33.31
1056,1997-05-07,3,42.69
1056,1997-06-08,2,29.33
1056,1997-08-16,3,52.91
1056,1997-09-18,2,30.48
1056,1997-09-23,2,27.48
1056,1997-10-05,5,78.45
1056,1998-01-01,4,52.46
1056,1998-01-15,1,11.99
1056,1998-04-09,4,49.63
1056,1998-06-27,4,59.39
1057,1997-02-09,3,42.9
1058,1997-02-09,3,54.97
1058,1997-04-21,2,40.48
1058,1997-06-22,3,42.17
1058,1997-07-31,3,118.72
1058,1997-10-24,1,35.49
1058,1998-01-14,1,35.49
1059,1997-02-09,8,150.66
1059,1997-02-10,1,11.99
106,1997-01-06,3,52.3
106,1997-02-18,3,52.3
1060,1997-02-09,4,57.59
1061,1997-02-09,1,9.77
1062,1997-02-09,1,14.77
1062,1997-02-24,3,41.92
1062,1997-05-02,2,25.74
1062,1997-05-12,1,14.96
1063,1997-02-09,1,13.97
1064,1997-02-09,4,86.6
1065,1997-02-09,2,27.94
1066,1997-02-09,1,20.99
1067,1997-02-10,6,90.56
1068,1997-02-10,1,14.37
1069,1997-02-10,2,39.75
107,1997-01-06,6,125.82
1070,1997-02-10,4,57.9
1071,1997-02-10,1,22.99
1071,1997-02-24,1,12.77
1071,1997-03-10,1,13.97
1072,1997-02-10,2,21.76
1073,1997-02-10,2,27.73
1074,1997-02-10,1,15.36
1075,1997-02-10,1,15.99
1075,1997-03-05,1,19.99
1075,1997-03-16,1,12.49
1075,1998-04-03,1,12.49
1076,1997-02-10,1,13.97
1076,1997-05-06,3,37.71
1076,1997-05-16,1,11.77
1076,1997-06-25,1,11.77
1077,1997-02-10,1,15.36
1078,1997-02-10,2,22.74
1079,1997-02-10,3,40.7
108,1997-01-06,2,32.98
1080,1997-02-10,1,0
1081,1997-02-10,5,60.64
1081,1997-02-13,7,98.5
1081,1997-02-22,7,105.76
1081,1997-02-25,7,98.16
1081,1997-03-09,6,85.21
1081,1997-03-26,8,112.51
1081,1997-04-07,9,119.71
1081,1997-05-16,7,96.95
1081,1997-06-02,7,110.18
1081,1997-07-28,10,128.69
1081,1997-07-30,6,96.74
1081,1997-09-22,9,119.41
1081,1997-10-29,9,116.91
1081,1997-12-16,9,118.91
1081,1998-02-11,7,72.82
1081,1998-05-17,6,83.94
1082,1997-02-10,1,13.97
1083,1997-02-10,1,13.97
1084,1997-02-10,1,12.77
1084,1997-02-11,3,80.31
1084,1997-02-26,1,15.36
1085,1997-02-10,1,27.3
1086,1997-02-10,1,26.99
1086,1997-06-23,1,9.98
1087,1997-02-10,2,26.98
1088,1997-02-10,4,69.96
1088,1997-02-17,4,74.96
1088,1997-03-03,1,19.99
1088,1997-03-16,3,73.7
1088,1997-07-04,5,91.83
1088,1997-08-02,5,64.42
1088,1997-08-03,1,14.37
1088,1997-08-30,5,127.64
1088,1997-10-07,1,55.49
1088,1997-10-29,3,39.47
1088,1997-12-07,6,75.44
1088,1997-12-18,2,20.98
1088,1998-01-03,1,13.99
1088,1998-01-17,9,101.41
1088,1998-02-18,1,11.49
1088,1998-02-28,2,31.98
1088,1998-03-13,3,53.36
1089,1997-02-10,1,11.77
109,1997-01-06,2,27.13
109,1997-01-08,3,39.09
1090,1997-02-10,1,12.97
1091,1997-02-10,1,17.96
1091,1997-06-23,1,5.99
1092,1997-02-10,1,12.49
1093,1997-02-10,1,12.49
1093,1997-03-24,3,39.94
1093,1997-04-14,1,12.49
1093,1997-05-05,1,27.75
1094,1997-02-10,1,12.49
1095,1997-02-10,2,19.54
1095,1997-03-13,2,17.75
1095,1997-08-25,5,45.49
1096,1997-02-10,3,37.71
1097,1997-02-10,2,30.53
1097,1997-02-24,1,14.37
1098,1997-02-10,2,15.54
1099,1997-02-10,1,6.79
1099,1997-02-18,2,13.58
1099,1997-04-09,2,28.34
1099,1997-05-06,1,14.99
1099,1997-08-04,1,13.77
11,1997-01-01,1,18.99
11,1997-01-27,1,14.37
11,1997-02-01,1,9.77
11,1997-03-02,1,15.99
11,1997-05-04,3,47.33
11,1997-06-21,3,59.74
11,1997-11-11,2,32.98
110,1997-01-06,3,42.49
110,1997-11-08,2,29.48
1100,1997-02-11,1,17.7
1100,1997-04-09,1,17.7
1100,1997-05-29,1,17.7
1100,1997-12-08,1,17.7
1101,1997-02-11,1,11.77
1101,1997-03-14,1,25.3
1101,1997-03-25,1,13.97
1102,1997-02-11,1,15.36
1102,1997-06-19,1,14.99
1102,1998-03-05,1,12.99
1103,1997-02-11,1,6.79
1104,1997-02-11,10,168.03
1104,1998-02-22,11,162.89
1104,1998-02-28,15,177.5
1104,1998-05-10,17,258.15
1105,1997-02-11,4,50.5
1106,1997-02-11,3,33.31
1107,1997-02-11,3,38.33
1108,1997-02-11,7,111.49
1108,1997-04-12,2,22.4
1109,1997-02-11,1,9.77
1109,1997-02-24,1,15.36
1109,1997-05-23,1,9.77
1109,1997-09-11,2,27.98
1109,1998-03-26,2,19.56
111,1997-01-06,1,9.97
111,1997-01-08,1,12.97
111,1998-06-04,1,12.58
1110,1997-02-11,1,12.97
1111,1997-02-11,3,26.53
1112,1997-02-11,1,14.96
1112,1997-06-20,1,14.96
1112,1997-11-25,1,14.99
1112,1998-05-02,1,8.38
1113,1997-02-11,6,85.42
1113,1997-02-17,2,27.94
1114,1997-02-11,2,26.73
1114,1997-02-12,2,29.73
1114,1997-03-11,1,15.36
1114,1997-03-24,3,45.28
1114,1997-04-07,1,14.96
1114,1997-05-07,2,27.56
1114,1997-06-20,1,14.96
1114,1997-10-31,1,8.49
1114,1997-11-25,1,13.99
1114,1998-04-02,3,41.06
1114,1998-06-01,2,25.37
1115,1997-02-11,1,15.96
1116,1997-02-11,1,16.7
1117,1997-02-11,1,13.97
1117,1997-03-11,3,48.88
1117,1997-06-17,1,14.96
1117,1997-07-27,4,63.67
1117,1997-09-02,6,64.43
1117,1997-11-04,5,73.95
1117,1997-12-31,3,25.47
1117,1998-03-18,3,39.36
1117,1998-06-11,2,19.56
1118,1997-02-11,2,33.94
1119,1997-02-11,1,15.96
112,1997-01-06,7,156
1120,1997-02-11,4,54.08
1120,1997-02-20,4,51.87
1121,1997-02-11,1,13.97
1122,1997-02-11,2,29.73
1122,1997-03-09,3,45.5
1122,1997-04-21,2,67.95
1122,1997-10-03,2,50.48
1122,1997-10-17,1,13.99
1122,1997-11-25,2,48.98
1122,1998-04-07,2,33.98
1123,1997-02-11,2,25.74
1124,1997-02-11,1,13.97
1124,1997-02-28,1,11.77
1125,1997-02-11,6,36.11
1125,1997-02-22,5,30.33
1125,1997-03-21,12,80.24
1125,1997-04-20,9,62.1
1126,1997-02-11,1,15.96
1126,1997-02-15,2,28.53
1126,1997-02-23,1,15.36
1126,1997-07-10,2,29.58
1126,1997-07-15,5,89.47
1126,1997-07-27,5,70.26
1126,1997-08-18,4,58.67
1126,1997-09-12,3,34.97
1126,1997-10-02,2,24.48
1126,1997-10-13,2,21.48
1126,1997-10-25,2,21.48
1126,1997-11-10,2,24.48
1126,1997-11-18,3,38.97
1126,1998-01-11,5,64.45
1126,1998-01-12,6,86.94
1126,1998-02-01,4,61.05
1127,1997-02-11,3,39.35
1127,1997-04-05,3,41.35
1127,1997-05-27,4,50.28
1127,1998-03-29,5,57.95
1128,1997-02-11,2,23.09
1129,1997-02-11,2,27.94
1129,1997-04-12,2,29.92
1129,1997-06-08,3,57.5
1129,1997-06-26,2,29.92
1129,1997-09-14,4,56.96
1129,1997-09-24,4,56.96
1129,1997-11-30,3,42.97
1129,1998-01-10,2,35.98
1129,1998-02-14,2,51.98
1129,1998-02-21,1,13.99
1129,1998-03-10,2,18.48
1129,1998-05-29,2,27.58
113,1997-01-06,1,11.77
1130,1997-02-11,1,15.96
1131,1997-02-11,2,44.98
1132,1997-02-11,2,25.74
1133,1997-02-12,2,53.98
1134,1997-02-12,1,9.99
1134,1997-03-24,2,49.98
1134,1997-04-08,1,14.96
1134,1997-07-30,1,9.99
1134,1997-09-07,1,14.99
1134,1997-09-27,3,40.97
1134,1997-10-20,1,12.99
1134,1997-11-03,1,9.49
1134,1997-11-14,1,19.49
1134,1997-12-12,1,12.99
1134,1998-01-02,2,27.98
1134,1998-01-07,1,89.49
1134,1998-02-08,1,11.88
1134,1998-03-17,1,15.99
1134,1998-04-18,2,29.98
1134,1998-04-22,1,12.99
1134,1998-05-02,1,11.88
1134,1998-05-05,1,14.49
1134,1998-05-26,1,11.88
1135,1997-02-12,2,11.78
1136,1997-02-12,4,69.55
1136,1997-02-15,5,60.64
1136,1997-02-17,2,29.66
1136,1997-02-24,3,150.5
1136,1997-02-25,1,14.96
1136,1997-03-12,5,59.07
1136,1997-03-17,4,62.47
1136,1997-03-29,3,37.11
1136,1997-04-01,3,38.5
1136,1997-04-06,3,54.11
1136,1997-04-15,2,40.4
1136,1997-05-07,3,45.88
1136,1997-06-16,2,30.32
1136,1998-02-02,1,22.49
1136,1998-02-08,3,40.36
1136,1998-06-04,6,78.44
1136,1998-06-11,2,35.07
1136,1998-06-17,2,23.76
1137,1997-02-12,6,78.43
1137,1997-06-21,3,35.71
1137,1997-10-25,4,48.96
1137,1997-11-08,3,74.47
1137,1997-12-10,3,49.47
1137,1997-12-15,1,65.99
1138,1997-02-12,1,14.96
1139,1997-02-12,2,28.76
1139,1997-06-24,2,30.15
114,1997-01-06,1,14.37
114,1997-06-24,1,24.99
1140,1997-02-12,1,14.99
1140,1997-11-09,5,72.45
1141,1997-02-12,2,28.33
1141,1997-02-17,1,13.97
1142,1997-02-12,1,11.99
1143,1997-02-12,3,39.7
1144,1997-02-12,3,75.97
1145,1997-02-12,1,11.77
1146,1997-02-12,1,32.99
1146,1997-03-04,2,18.28
1146,1997-03-11,1,9.99
1146,1997-04-13,1,12.49
1147,1997-02-12,2,19.54
1148,1997-02-12,1,16.36
1149,1997-02-12,1,9.77
115,1997-01-06,2,29.33
1150,1997-02-12,1,29.99
1151,1997-02-12,1,42.77
1152,1997-02-12,5,92.07
1152,1997-05-08,7,103.18
1153,1997-02-12,2,24.98
1154,1997-02-12,2,30.33
1154,1997-02-16,1,14.96
1155,1997-02-12,1,9.77
1156,1997-02-12,1,9.97
1157,1997-02-12,1,14.37
1158,1997-02-13,1,15.96
1159,1997-02-13,2,50.76
116,1997-01-06,1,8.77
116,1997-02-12,3,28.31
116,1998-01-02,4,58.46
116,1998-05-26,3,14.47
1160,1997-02-13,1,74.37
1160,1997-07-18,2,19.98
1160,1997-08-24,3,54.77
1160,1997-09-19,3,56.97
1160,1997-09-21,2,26.98
1160,1997-10-15,2,28.48
1160,1997-10-21,1,65.99
1160,1997-11-21,2,20.98
1160,1997-12-23,2,19.48
1160,1998-01-02,1,18.49
1160,1998-01-23,2,25.98
1161,1997-02-13,1,19.99
1162,1997-02-13,2,32.72
1163,1997-02-13,1,49.99
1164,1997-02-13,2,30.73
1164,1997-04-08,2,37.54
1164,1997-06-01,2,24.54
1164,1997-10-07,1,20.99
1164,1998-03-25,1,9.33
1164,1998-06-14,1,59.47
1165,1997-02-13,6,77.42
1166,1997-02-13,7,88.8
1166,1997-02-17,4,54.88
1166,1997-02-18,2,27.13
1166,1997-02-19,2,27.93
1166,1997-02-22,3,38.7
1166,1998-03-27,2,14.84
1166,1998-03-30,2,21.98
1166,1998-04-04,2,21.66
1166,1998-05-07,1,9.99
1166,1998-05-15,1,35.99
1166,1998-05-19,1,15.99
1166,1998-05-22,1,13.49
1166,1998-05-28,10,116.9
1166,1998-06-01,1,4.49
1166,1998-06-03,1,15.49
1166,1998-06-24,1,12.99
1167,1997-02-13,1,12.97
1167,1998-03-28,2,20.98
1168,1997-02-13,1,11.77
1168,1997-02-18,1,9.97
1168,1998-01-08,1,11.49
1169,1997-02-13,1,15.96
117,1997-01-06,1,8.77
1170,1997-02-13,3,46.52
1170,1997-03-04,3,59.97
1171,1997-02-13,1,12.97
1172,1997-02-13,1,12.49
1172,1997-02-27,1,14.96
1172,1997-02-28,1,14.96
1172,1997-03-27,1,13.97
1173,1997-02-13,2,28.74
1174,1997-02-13,1,12.49
1175,1997-02-13,4,59.28
1176,1997-02-13,1,10.97
1177,1997-02-13,1,5.78
1178,1997-02-13,2,27.94
1178,1997-04-16,2,32.26
1179,1997-02-13,1,13.97
118,1997-01-06,1,11.77
1180,1997-02-13,1,13.97
1180,1998-03-05,2,28.98
1180,1998-06-13,3,37.47
1181,1997-02-13,4,50.67
1181,1997-02-17,3,43.73
1181,1997-08-18,2,28.74
1181,1997-08-31,1,28.18
1181,1997-10-13,2,18.98
