Id,Date,Price
1,2005-01-02,230.3
1,2005-09-06,84.39
1,2006-01-18,131.07
1,2006-04-05,86.43
1,2006-07-02,11.49
1,2006-10-04,246.51
1,2006-10-17,48.6
2,2005-01-02,61.11
2,2005-01-16,18.75
2,2006-04-06,15.49
2,2006-07-20,21.49
2,2006-09-08,11.77
3,2005-01-02,19.99
3,2005-06-02,50.67
3,2006-06-11,43.5
3,2006-08-31,29.77
3,2006-09-26,27.13
3,2006-12-24,102.36
3,2007-04-19,43.3
3,2007-07-07,33.51
3,2008-06-15,4.79
4,2005-01-02,15.96
4,2005-06-13,14.99
4,2005-07-03,39.25
5,2005-01-02,46.88
5,2005-05-13,11.77
6,2005-01-02,13.49
6,2005-09-20,9.99
6,2005-10-16,12.77
6,2005-12-21,6.79
7,2005-01-02,13.97
7,2005-09-26,41.31
7,2006-11-11,28.49
7,2006-11-14,20.35
7,2007-10-15,93.97
7,2008-06-05,11.77
7,2008-08-04,27.33
7,2010-03-15,22.99
7,2010-09-07,43.3
7,2010-10-15,12.99
8,2005-01-02,11.58
8,2005-04-30,24.48
8,2005-05-03,120.43
9,2005-01-02,38.47
9,2005-03-30,7.98
9,2007-02-02,14.96
9,2007-04-14,42.48
9,2007-06-12,19.74
9,2007-07-11,16.99
9,2007-11-06,58.46
9,2008-08-21,13.99
9,2009-02-20,79.21
9,2010-11-08,45.47
10,2005-01-02,14.37
10,2005-06-26,38.86
10,2006-11-30,48.94
10,2009-10-24,14.37
11,2005-01-02,26.94
12,2005-01-02,10.77
13,2005-01-02,43.34
13,2010-06-04,88.18
14,2005-01-02,79.2
14,2005-06-03,64.74
14,2009-10-23,15.76
15,2005-01-02,34.74
15,2008-11-16,64.45
16,2005-01-02,9.77
16,2005-04-28,65.97
16,2005-05-03,53.29
16,2005-06-02,32.47
16,2005-09-30,27.98
16,2005-10-10,13.77
16,2005-11-06,28.7
16,2005-11-27,33.72
16,2006-06-15,12.99
16,2006-10-17,57.5
16,2006-11-21,118.23
16,2007-02-12,121.15
16,2007-02-14,74.73
16,2007-03-22,51.67
16,2007-06-05,37.71
16,2007-09-06,71.63
16,2007-11-11,92.81
16,2007-12-08,9.58
16,2007-12-20,41.47
16,2008-02-24,9.49
16,2008-06-21,11.77
16,2008-09-02,29.06
16,2009-02-13,35.48
16,2009-03-12,40.98
16,2009-08-19,53.46
16,2009-12-28,19.95
16,2010-01-06,43.13
16,2010-02-02,15.38
16,2010-10-17,35.93
16,2010-10-26,62.58
16,2010-11-01,132.67
16,2010-12-19,43.89
17,2005-01-02,59.54
17,2005-02-18,14.79
18,2005-01-02,15.36
18,2005-10-29,42.71
19,2005-01-02,30.36
19,2005-04-02,43.47
19,2006-01-14,17.7
19,2006-07-28,12.77
19,2006-10-28,12.99
19,2007-01-31,70.42
19,2007-03-28,12.25
19,2007-06-30,24.98
19,2008-03-20,43.09
19,2008-08-09,21.49
19,2008-09-19,29.33
19,2009-01-19,29.73
19,2009-05-25,12.97
19,2009-10-09,31.05
19,2009-12-26,43.69
19,2010-05-14,31.35
19,2010-06-04,9.98
19,2010-06-12,14.37
19,2010-08-30,35.47
19,2010-10-09,47.46
20,2005-01-02,29.33
21,2005-01-02,90.96
21,2005-10-11,9.97
21,2005-10-22,21.49
22,2005-01-02,13.99
22,2005-08-22,95.2
22,2005-12-02,12.49
22,2006-01-07,11.77
22,2006-11-03,29.66
22,2006-12-20,20.75
22,2006-12-24,53.98
22,2007-01-12,13.99
22,2007-06-05,55.1
22,2007-10-13,15.36
22,2007-12-08,52.98
22,2008-03-25,14.99
22,2008-08-18,38.77
22,2008-11-08,23.49
22,2009-04-08,40.53
22,2009-12-21,25.48
22,2010-06-23,66.96
22,2010-11-13,55.27
22,2010-12-06,73.62
23,2005-01-02,17.3
23,2005-02-08,26.14
23,2005-06-05,14.96
23,2005-07-10,39.47
23,2006-02-23,139.7
23,2006-06-19,105.76
23,2006-08-01,11.77
23,2007-11-28,15.99
24,2005-01-02,11.77
24,2005-11-29,77.21
24,2006-09-24,24.97
24,2006-10-18,10.49
25,2005-01-02,29.92
25,2005-11-30,35.99
25,2006-06-02,6.78
25,2008-11-13,152.89
26,2005-01-02,39.91
26,2005-11-19,26.99
26,2008-03-03,15.36
27,2005-01-02,12.97
28,2005-01-02,70.07
28,2005-02-15,59.96
29,2005-01-02,27.98
29,2005-04-23,28.49
29,2005-12-29,11.77
29,2006-01-03,53.96
29,2006-06-01,26.13
29,2006-09-14,11.77
29,2007-01-20,25.97
29,2007-01-25,52.71
29,2007-06-01,36.28
29,2007-12-12,47.41
29,2008-06-15,4.79
29,2009-06-09,17.9
30,2005-01-02,20.54
30,2005-02-15,125.69
31,2005-01-02,12.77
31,2005-01-10,21.76
31,2005-01-25,15.36
31,2005-02-01,9.49
31,2005-04-04,57.51
31,2005-07-01,13.97
31,2005-10-02,29.92
31,2005-10-22,13.99
31,2005-10-22,13.76
31,2006-10-21,38.5
31,2006-10-23,67.57
31,2006-10-31,149.92
31,2006-12-03,11.77
31,2006-12-24,35.95
31,2007-08-13,34.71
31,2007-10-23,72.99
31,2007-11-18,27.14
31,2007-12-05,14.96
31,2008-06-02,14.96
31,2008-06-28,24.48
31,2008-09-09,13.77
31,2008-09-25,16.36
31,2008-10-12,24.9
31,2009-01-01,14.96
31,2009-02-16,53.45
31,2009-05-08,25.48
31,2009-08-11,38.99
31,2009-09-16,21.49
31,2009-10-24,19.98
31,2009-11-22,0
31,2009-12-04,176.86
31,2010-03-06,10.77
31,2010-09-22,12.49
31,2010-11-03,41.11
32,2005-01-02,66.47
32,2006-10-26,25.77
33,2005-01-02,9.98
33,2005-01-15,12.99
33,2005-03-04,24.47
34,2005-01-02,16.48
34,2005-06-27,37.99
34,2005-12-12,38.97
34,2006-01-30,25.74
34,2006-03-29,92.79
34,2006-08-12,25.98
34,2007-02-18,25.74
34,2007-05-01,60.49
34,2007-06-14,79.44
34,2007-08-25,27.47
34,2008-04-26,47.97
34,2008-06-02,25.3
34,2008-06-06,12.58
34,2008-07-10,51.97
34,2008-11-16,53.96
34,2009-04-20,2.99
34,2010-02-28,13.97
34,2010-04-04,13.97
34,2010-06-07,14.96
34,2010-06-30,8.97
34,2010-10-21,11.77
35,2005-01-02,316.76
36,2005-01-02,28.74
37,2005-01-02,59.96
37,2005-02-17,23.76
38,2005-01-02,15.96
39,2005-01-02,46.04
39,2005-06-17,55.08
39,2005-06-23,68.89
39,2007-12-14,30.33
40,2005-01-02,11.77
40,2005-05-29,12.99
40,2005-08-10,24.73
40,2005-11-04,13.97
40,2005-11-16,30.92
40,2005-12-18,83.2
40,2007-04-09,99.93
40,2007-04-20,46.46
40,2007-05-02,78.47
40,2007-10-13,70.33
40,2008-03-12,20.76
40,2009-06-24,29.33
40,2009-08-01,64.42
40,2009-11-25,50.96
40,2009-12-05,17.75
40,2010-11-27,19.3
41,2005-01-02,20.74
41,2005-01-13,75.44
41,2006-04-09,27.94
41,2006-05-23,35.51
41,2006-05-31,22.49
41,2006-11-07,81.94
42,2005-01-02,20.3
42,2005-03-11,10.98
42,2005-08-22,14.96
42,2005-12-10,26.14
43,2005-01-02,15.9
43,2005-02-08,21.77
44,2005-01-02,11.77
44,2005-05-29,29.92
45,2005-01-02,10.49
45,2010-11-01,9.97
46,2005-01-02,44.32
46,2006-07-17,6.79
46,2006-10-04,27.47
46,2006-12-09,15.36
46,2008-02-07,11.77
46,2008-02-19,34.14
47,2005-01-02,19.99
48,2005-01-02,14.99
49,2005-01-02,48.31
50,2005-01-02,28.93
51,2005-01-02,11.49
51,2005-03-06,36.86
52,2005-01-02,15.49
52,2005-06-12,9.98
53,2005-01-02,26.98
53,2005-06-24,56.97
53,2006-06-09,28.98
53,2008-03-13,28.97
53,2009-08-01,58.45
54,2005-01-02,9.99
54,2006-03-01,68.85
54,2007-03-20,25.48
55,2005-01-02,12.77
56,2005-01-02,11.77
56,2005-02-23,14.96
56,2005-09-20,9.99
56,2005-10-13,10.77
56,2005-12-02,14.79
56,2005-12-24,23.54
56,2006-08-21,62.96
56,2006-08-25,182.02
56,2007-11-20,14.96
56,2008-10-17,23.73
56,2010-10-16,11.77
56,2010-11-25,8.97
57,2005-01-02,14.99
57,2005-01-31,57.69
57,2005-06-09,95.94
58,2005-01-02,53.54
59,2005-01-02,23.74
59,2005-05-19,12.99
59,2005-06-14,29.98
60,2005-01-02,44.47
61,2005-01-02,72.85
62,2005-01-02,12.49
63,2005-01-02,11.77
63,2005-06-06,6.79
63,2005-09-22,12.77
63,2006-08-07,9.77
63,2007-12-25,44.88
63,2008-06-13,2.99
63,2008-07-18,47.97
63,2008-08-10,14.49
63,2008-11-10,27.94
64,2005-01-02,24.49
64,2006-06-12,28.74
64,2007-09-06,24.99
64,2007-11-09,50.28
65,2005-01-02,26.73
66,2005-01-02,18.64
66,2005-01-25,54.27
66,2005-03-07,33.7
66,2005-04-04,42.36
66,2005-04-09,21.74
66,2005-04-10,51.35
67,2005-01-02,37.9
67,2005-08-23,23.98
67,2006-06-08,14.99
68,2005-01-02,121.05
68,2005-03-12,11.77
68,2005-09-30,162.04
68,2005-09-30,30.72
68,2005-10-19,58.28
69,2005-01-02,89.47
70,2005-01-02,26.98
70,2005-12-13,11.77
70,2005-12-31,255.35
70,2006-05-01,12.99
70,2006-08-03,50.97
70,2006-08-14,50.74
70,2007-05-19,38.97
70,2008-01-28,5.78
70,2008-03-05,65.99
70,2008-06-15,58.06
70,2009-04-22,6.77
70,2009-07-16,19.56
70,2009-09-09,53.96
